Date,Num. stories,Views for each story,Category,Completion rate
2020-02-19,8,"[90, 90, 88, 70, 65, 65, 65, 64]",memes,71.1111111111111
2020-02-19,8,"[90, 90, 88, 70, 65, 65, 65, 64]",memes,71.11111111111111
